text,audit_type,source
"cash advance ETB 812,000 logged by Getachew - please confirm",PROJECT_RESOURCE,hard_synthetic_v2
scaffold parts missing after demob (meron t.),PROJECT_RESOURCE,hard_synthetic_v2
2025-02-20 qty take-off altered - no CO (Mesfin),DATA_INTEGRITY,hard_synthetic_v2
please check - contractor import replaced values (Tigist),DATA_INTEGRITY,hard_synthetic_v2
ppe violation noted for crew of mesfin | need follow up,COMPLIANCE,hard_synthetic_v2
toolbox talk sheet missing (Helen),COMPLIANCE,hard_synthetic_v2
2025-01-11 equipment checkout overdue (mesfin),PROJECT_RESOURCE,hard_synthetic_v2
unauthorized access attempt by Bereket D.,FINANCIAL,hard_synthetic_v2
PPE violation noted for crew of Helen,COMPLIANCE,hard_synthetic_v2
late submission of daily report (solomon .),COMPLIANCE,hard_synthetic_v2
odd hour login by mesfin at 19:00,SECURITY,hard_synthetic_v2
Dawit H. changed IP during session,SECURITY,hard_synthetic_v2
suspicious login pattern detected (Solomon A.) (check),SECURITY,hard_synthetic_v2
flagged item,SECURITY,hard_synthetic_v2
T31729: measurement sheet deleted (Abebe K.) - ezih,DATA_INTEGRITY,hard_synthetic_v2
test results changed without approval (rahel g.),DATA_INTEGRITY,hard_synthetic_v2
T83035: problem on alr ext bulk delete of 92 - site lay,USER_ACTIVITY,hard_synthetic_v2
per site instruction - 87 edits in under 5 min by Marta T.,USER_ACTIVITY,hard_synthetic_v2
CSV import overwrote approved qty (Helen) - please confirm,DATA_INTEGRITY,hard_synthetic_v2
toolbox talk sheet missing (dawit h.),COMPLIANCE,hard_synthetic_v2
"expense claim ETB 458,000 from Tigist",FINANCIAL,hard_synthetic_v2
unapproved edit to record by rahel g.,PROJECT_RESOURCE,hard_synthetic_v2
mass status edit (80 tasks) by samuel,USER_ACTIVITY,hard_synthetic_v2
2025-07-23 measurement sheet deleted (solomon a.),DATA_INTEGRITY,hard_synthetic_v2
data issue,FINANCIAL,hard_synthetic_v2
duplicate supplier invoice #9603,DATA_INTEGRITY,hard_synthetic_v2
"expense claim ETB 461,000 from Lidya W.",FINANCIAL,hard_synthetic_v2
site report late by 13 days (Henok T.),PROJECT_RESOURCE,hard_synthetic_v2
2025-08-03 test results changed without approval (Getachew) (check),DATA_INTEGRITY,hard_synthetic_v2
